Country,Weighted_Medals,Gold,Silver,Bronze,GDP ($US billion),Weighted Medals per GDP ($US billion)
Grenada,4,1,0,0,0.82,4.90
Jamaica,28,4,4,4,15.07,1.86
Georgia,13,1,3,3,14.37,0.90
North Korea,18,4,0,2,22.00,0.82
Mongolia,7,0,2,3,8.56,0.82
Kenya,21,2,4,5,33.62,0.62
Ethiopia,17,3,1,3,31.71,0.54
Cuba,32,5,3,6,60.81,0.53
Bahamas,4,1,0,0,7.79,0.51
Montenegro,2,0,1,0,4.55,0.44
Belarus,23,2,5,5,55.14,0.42
Armenia,4,0,1,2,10.25,0.39
Iran,29,4,5,3,86.53,0.34
Hungary,46,8,4,6,140.03,0.33
Trinidad and Tobago,7,1,0,3,22.48,0.31
Moldova,2,0,0,2,7.00,0.29
Azerbaijan,18,2,2,6,63.40,0.28
Lithuania,12,2,1,2,42.73,0.28
Ukraine,43,6,5,9,165.25,0.26
New Zealand,33,6,2,5,130.68,0.25
Croatia,16,3,1,2,63.85,0.25
Uganda,4,1,0,0,16.81,0.24
Kazakhstan,35,7,1,5,186.20,0.19
Serbia,8,1,1,2,45.04,0.18
Latvia,5,1,0,1,28.25,0.18
Slovenia,8,1,1,2,49.54,0.16
Uzbekistan,7,1,0,3,45.36,0.15
Tajikistan,1,0,0,1,6.52,0.15
Tunisia,7,1,1,1,45.86,0.15
Estonia,3,0,1,1,22.18,0.14
Gabon,2,0,1,0,17.05,0.12
Czech Republic,25,4,3,3,215.22,0.12
Botswana,2,0,1,0,17.63,0.11
Romania,20,2,5,2,179.79,0.11
Dominican Republic,6,1,1,0,55.61,0.11
Russian Federation,178,24,25,32,1857.77,0.10
Cyprus,2,0,1,0,24.69,0.08
Great Britain,169,29,17,19,2431.59,0.07
South Korea,75,13,8,7,1116.25,0.07
Denmark,19,2,4,3,332.68,0.06
Bulgaria,3,0,1,1,53.51,0.06
Netherlands,44,6,6,8,836.26,0.05
Australia,72,7,16,12,1371.76,0.05
Slovakia,5,0,1,3,95.99,0.05
Afghanistan,1,0,0,1,20.34,0.05
Ireland,10,1,1,4,217.28,0.05
Bahrain,1,0,0,1,21.90,0.05
Guatemala,2,0,1,0,46.90,0.04
Colombia,14,1,3,4,331.65,0.04
South Africa,17,3,2,1,408.24,0.04
Poland,18,2,2,6,514.50,0.03
Puerto Rico,3,0,1,1,92.61,0.03
China,229,38,27,23,7298.10,0.03
France,78,11,11,12,2773.03,0.03
Sweden,15,1,4,3,538.13,0.03
Italy,61,8,9,11,2194.75,0.03
Germany,96,11,19,14,3570.56,0.03
Spain,36,3,10,4,1490.81,0.02
Norway,11,2,1,1,485.80,0.02
Algeria,4,1,0,0,188.68,0.02
Switzerland,12,2,2,0,635.65,0.02
United States,271,46,29,29,15094.00,0.02
Argentina,8,1,1,2,445.99,0.02
Egypt,4,0,2,0,229.53,0.02
Turkey,13,2,2,1,773.09,0.02
Finland,4,0,1,2,266.07,0.02
Canada,26,1,5,12,1736.05,0.01
Thailand,5,0,2,1,345.65,0.01
Venezuela,4,1,0,0,316.48,0.01
Brazil,31,3,5,9,2476.65,0.01
Japan,73,7,14,17,5867.15,0.01
Qatar,2,0,0,2,172.98,0.01
Mexico,13,1,3,3,1155.32,0.01
Malaysia,3,0,1,1,278.67,0.01
Morocco,1,0,0,1,100.22,0.01
Portugal,2,0,1,0,237.52,0.01
Singapore,2,0,0,2,239.70,0.01
Belgium,4,0,1,2,511.53,0.01
Greece,2,0,0,2,298.73,0.01
Taiwan,3,0,1,1,466.00,0.01
Kuwait,1,0,0,1,176.59,0.01
India,8,0,2,4,1847.98,0.00
Hong Kong,1,0,0,1,243.67,0.00
Indonesia,3,0,1,1,846.83,0.00
Saudi Arabia,1,0,0,1,576.82,0.00
